Solidity Version, name, constant, payable, stateMutability, type

0.6.3, globalState, undefined, undefined, view, function
0.6.3, getPrivateState, undefined, undefined, view, function
0.6.3, setPrivateState, undefined, undefined, nonpayable, function
0.6.3, deposit, undefined, undefined, payable, function
0.6.3, getBalance, undefined, undefined, view, function
0.6.2, globalState, undefined, undefined, view, function
0.6.2, getPrivateState, undefined, undefined, view, function
0.6.2, setPrivateState, undefined, undefined, nonpayable, function
0.6.2, deposit, undefined, undefined, payable, function
0.6.2, getBalance, undefined, undefined, view, function
0.6.1, globalState, undefined, undefined, view, function
0.6.1, getPrivateState, undefined, undefined, view, function
0.6.1, setPrivateState, undefined, undefined, nonpayable, function
0.6.1, deposit, undefined, undefined, payable, function
0.6.1, getBalance, undefined, undefined, view, function
0.5.16, globalState, true, undefined, view, function
0.5.16, getPrivateState, true, undefined, view, function
0.5.16, setPrivateState, undefined, undefined, nonpayable, function
0.5.16, deposit, undefined, true, payable, function
0.5.16, getBalance, true, undefined, view, function
0.5.15, globalState, true, undefined, view, function
0.5.15, getPrivateState, true, undefined, view, function
0.5.15, setPrivateState, undefined, undefined, nonpayable, function
0.5.15, deposit, undefined, true, payable, function
0.5.15, getBalance, true, undefined, view, function
0.5.14, globalState, true, undefined, view, function
0.5.14, getPrivateState, true, undefined, view, function
0.5.14, setPrivateState, undefined, undefined, nonpayable, function
0.5.14, deposit, undefined, true, payable, function
0.5.14, getBalance, true, undefined, view, function
0.5.13, globalState, true, undefined, view, function
0.5.13, getPrivateState, true, undefined, view, function
0.5.13, setPrivateState, undefined, undefined, nonpayable, function
0.5.13, deposit, undefined, true, payable, function
0.5.13, getBalance, true, undefined, view, function
0.5.12, globalState, true, undefined, view, function
0.5.12, getPrivateState, true, undefined, view, function
0.5.12, setPrivateState, undefined, undefined, nonpayable, function
0.5.12, deposit, undefined, true, payable, function
0.5.12, getBalance, true, undefined, view, function
0.5.11, globalState, true, undefined, view, function
0.5.11, getPrivateState, true, undefined, view, function
0.5.11, setPrivateState, undefined, undefined, nonpayable, function
0.5.11, deposit, undefined, true, payable, function
0.5.11, getBalance, true, undefined, view, function
0.5.10, globalState, true, undefined, view, function
0.5.10, getPrivateState, true, undefined, view, function
0.5.10, setPrivateState, undefined, undefined, nonpayable, function
0.5.10, deposit, undefined, true, payable, function
0.5.10, getBalance, true, undefined, view, function
0.5.9, globalState, true, undefined, view, function
0.5.9, getPrivateState, true, undefined, view, function
0.5.9, setPrivateState, undefined, undefined, nonpayable, function
0.5.9, deposit, undefined, true, payable, function
0.5.9, getBalance, true, undefined, view, function
0.5.8, globalState, true, undefined, view, function
0.5.8, getPrivateState, true, undefined, view, function
0.5.8, setPrivateState, undefined, undefined, nonpayable, function
0.5.8, deposit, undefined, true, payable, function
0.5.8, getBalance, true, undefined, view, function
0.5.7, globalState, true, undefined, view, function
0.5.7, getPrivateState, true, undefined, view, function
0.5.7, setPrivateState, undefined, undefined, nonpayable, function
0.5.7, deposit, undefined, true, payable, function
0.5.7, getBalance, true, undefined, view, function
0.5.6, globalState, true, undefined, view, function
0.5.6, getPrivateState, true, undefined, view, function
0.5.6, setPrivateState, undefined, undefined, nonpayable, function
0.5.6, deposit, undefined, true, payable, function
0.5.6, getBalance, true, undefined, view, function
0.5.5, globalState, true, undefined, view, function
0.5.5, getPrivateState, true, undefined, view, function
0.5.5, setPrivateState, undefined, undefined, nonpayable, function
0.5.5, deposit, undefined, true, payable, function
0.5.5, getBalance, true, undefined, view, function
0.5.4, globalState, true, undefined, view, function
0.5.4, getPrivateState, true, undefined, view, function
0.5.4, setPrivateState, undefined, undefined, nonpayable, function
0.5.4, deposit, undefined, true, payable, function
0.5.4, getBalance, true, undefined, view, function
0.5.3, globalState, true, undefined, view, function
0.5.3, getPrivateState, true, undefined, view, function
0.5.3, setPrivateState, undefined, undefined, nonpayable, function
0.5.3, deposit, undefined, true, payable, function
0.5.3, getBalance, true, undefined, view, function
0.5.2, globalState, true, undefined, view, function
0.5.2, getPrivateState, true, undefined, view, function
0.5.2, setPrivateState, undefined, undefined, nonpayable, function
0.5.2, deposit, undefined, true, payable, function
0.5.2, getBalance, true, undefined, view, function
0.5.1, globalState, true, undefined, view, function
0.5.1, getPrivateState, true, undefined, view, function
0.5.1, setPrivateState, undefined, undefined, nonpayable, function
0.5.1, deposit, undefined, true, payable, function
0.5.1, getBalance, true, undefined, view, function
